promotion_id,product_id,promotion_name,discount_pct,start_date_id,end_date_id,is_active,created_at
1,87,Summer Sale,0.26,20240525,20240926,0,46:32.9
2,87,Holiday Discount,0.28,20240525,20240926,1,46:32.9
3,87,Special Offer,0.22,20240525,20240926,0,46:32.9
4,87,Winter Sale,0.13,20240525,20240926,1,46:32.9
5,87,Summer Sale,0.02,20240525,20240926,0,46:32.9
6,87,Holiday Discount,0.13,20240525,20240926,1,46:32.9
7,87,Special Offer,0.04,20240525,20240926,0,46:32.9
8,87,Winter Sale,0.03,20240525,20240926,1,46:32.9
9,87,Summer Sale,0,20240525,20240926,0,46:32.9
10,87,Holiday Discount,0.01,20240525,20240926,1,46:32.9
11,87,Special Offer,0.02,20240525,20240926,0,46:32.9
12,87,Winter Sale,0.25,20240525,20240926,1,46:32.9
13,87,Summer Sale,0.2,20240525,20240926,0,46:32.9
14,87,Holiday Discount,0.08,20240525,20240926,1,46:32.9
15,87,Special Offer,0,20240525,20240926,0,46:32.9
16,87,Winter Sale,0.07,20240525,20240926,1,46:32.9
17,87,Summer Sale,0.14,20240525,20240926,0,46:32.9
18,87,Holiday Discount,0,20240525,20240926,1,46:32.9
19,87,Special Offer,0.15,20240525,20240926,0,46:32.9
20,87,Winter Sale,0.12,20240525,20240926,1,46:32.9
21,87,Summer Sale,0.15,20240525,20240926,0,46:32.9
22,87,Holiday Discount,0.06,20240525,20240926,1,46:32.9
23,87,Special Offer,0.14,20240525,20240926,0,46:32.9
24,87,Winter Sale,0.15,20240525,20240926,1,46:32.9
25,87,Summer Sale,0.08,20240525,20240926,0,46:32.9
26,87,Holiday Discount,0.15,20240525,20240926,1,46:32.9
27,87,Special Offer,0.08,20240525,20240926,0,46:32.9
28,87,Winter Sale,0.3,20240525,20240926,1,46:32.9
29,87,Summer Sale,0,20240525,20240926,0,46:32.9
30,87,Holiday Discount,0.17,20240525,20240926,1,46:32.9
31,87,Special Offer,0.07,20240525,20240926,0,46:32.9
32,87,Winter Sale,0.26,20240525,20240926,1,46:32.9
33,87,Summer Sale,0.14,20240525,20240926,0,46:32.9
34,87,Holiday Discount,0.02,20240525,20240926,1,46:32.9
35,87,Special Offer,0.19,20240525,20240926,0,46:32.9
36,87,Winter Sale,0.06,20240525,20240926,1,46:32.9
37,87,Summer Sale,0.14,20240525,20240926,0,46:32.9
38,87,Holiday Discount,0.22,20240525,20240926,1,46:32.9
39,87,Special Offer,0.09,20240525,20240926,0,46:32.9
40,87,Winter Sale,0.14,20240525,20240926,1,46:32.9
41,87,Summer Sale,0.19,20240525,20240926,0,46:32.9
42,87,Holiday Discount,0.04,20240525,20240926,1,46:32.9
43,87,Special Offer,0.15,20240525,20240926,0,46:32.9
44,87,Winter Sale,0.11,20240525,20240926,1,46:32.9
45,87,Summer Sale,0.13,20240525,20240926,0,46:32.9
46,87,Holiday Discount,0.13,20240525,20240926,1,46:32.9
47,87,Special Offer,0.14,20240525,20240926,0,46:32.9
48,87,Winter Sale,0.09,20240525,20240926,1,46:32.9
49,87,Summer Sale,0.25,20240525,20240926,0,46:32.9
50,87,Holiday Discount,0.06,20240525,20240926,1,46:32.9
51,87,Special Offer,0.08,20240525,20240926,0,46:32.9
52,87,Winter Sale,0.03,20240525,20240926,1,46:32.9
53,87,Summer Sale,0.27,20240525,20240926,0,46:32.9
54,87,Holiday Discount,0,20240525,20240926,1,46:32.9
55,87,Special Offer,0.2,20240525,20240926,0,46:32.9
56,87,Winter Sale,0.16,20240525,20240926,1,46:32.9
57,87,Summer Sale,0.13,20240525,20240926,0,46:32.9
58,87,Holiday Discount,0.09,20240525,20240926,1,46:32.9
59,87,Special Offer,0.14,20240525,20240926,0,46:32.9
60,87,Winter Sale,0.05,20240525,20240926,1,46:32.9
61,87,Summer Sale,0.04,20240525,20240926,0,46:32.9
62,87,Holiday Discount,0.11,20240525,20240926,1,46:32.9
63,87,Special Offer,0.03,20240525,20240926,0,46:32.9
64,87,Winter Sale,0,20240525,20240926,1,46:32.9
65,87,Summer Sale,0.27,20240525,20240926,0,46:32.9
66,87,Holiday Discount,0.27,20240525,20240926,1,46:32.9
67,87,Special Offer,0.06,20240525,20240926,0,46:32.9
68,87,Winter Sale,0.2,20240525,20240926,1,46:32.9
69,87,Summer Sale,0.29,20240525,20240926,0,46:32.9
70,87,Holiday Discount,0.01,20240525,20240926,1,46:32.9
71,87,Special Offer,0.3,20240525,20240926,0,46:32.9
72,87,Winter Sale,0.27,20240525,20240926,1,46:32.9
73,87,Summer Sale,0.05,20240525,20240926,0,46:32.9
74,87,Holiday Discount,0.12,20240525,20240926,1,46:32.9
75,87,Special Offer,0.13,20240525,20240926,0,46:32.9
76,87,Winter Sale,0.21,20240525,20240926,1,46:32.9
77,87,Summer Sale,0.19,20240525,20240926,0,46:32.9
78,87,Holiday Discount,0.2,20240525,20240926,1,46:32.9
79,87,Special Offer,0.16,20240525,20240926,0,46:32.9
80,87,Winter Sale,0.25,20240525,20240926,1,46:32.9
81,87,Summer Sale,0.11,20240525,20240926,0,46:32.9
82,87,Holiday Discount,0.19,20240525,20240926,1,46:32.9
83,87,Special Offer,0.24,20240525,20240926,0,46:32.9
84,87,Winter Sale,0.21,20240525,20240926,1,46:32.9
85,87,Summer Sale,0.27,20240525,20240926,0,46:32.9
86,87,Holiday Discount,0.17,20240525,20240926,1,46:32.9
87,87,Special Offer,0.12,20240525,20240926,0,46:32.9
88,87,Winter Sale,0.16,20240525,20240926,1,46:32.9
89,87,Summer Sale,0.18,20240525,20240926,0,46:32.9
90,87,Holiday Discount,0.2,20240525,20240926,1,46:32.9
91,87,Special Offer,0.23,20240525,20240926,0,46:32.9
92,87,Winter Sale,0.18,20240525,20240926,1,46:32.9
93,87,Summer Sale,0.22,20240525,20240926,0,46:32.9
94,87,Holiday Discount,0.28,20240525,20240926,1,46:32.9
95,87,Special Offer,0.02,20240525,20240926,0,46:32.9
96,87,Winter Sale,0.28,20240525,20240926,1,46:32.9
97,87,Summer Sale,0.25,20240525,20240926,0,46:32.9
98,87,Holiday Discount,0.16,20240525,20240926,1,46:32.9
99,87,Special Offer,0.3,20240525,20240926,0,46:32.9
100,87,Winter Sale,0.2,20240525,20240926,1,46:32.9
101,87,Summer Sale,0.04,20240525,20240926,0,46:32.9
102,87,Holiday Discount,0.23,20240525,20240926,1,46:32.9
103,87,Special Offer,0.21,20240525,20240926,0,46:32.9
104,87,Winter Sale,0.12,20240525,20240926,1,46:32.9
105,87,Summer Sale,0.14,20240525,20240926,0,46:32.9
106,87,Holiday Discount,0.03,20240525,20240926,1,46:32.9
107,87,Special Offer,0,20240525,20240926,0,46:32.9
108,87,Winter Sale,0.11,20240525,20240926,1,46:32.9
